,Date,DeltaRanking,Delta_draw_percentage,Delta_win_draw_home_team,Delta_win_draw_visitor_team,Delta_win_percentage,Draw_percentage_home_team,Draw_percentage_visitor_team,Phase,Ranking_home_team,Ranking_visitor_team,Team_home,Team_visitor,Win_percentage_home_team,Win_percentage_visitor_team,Worldcup
0,2018,-1.0,0.196969696969697,-0.09090909090909094,0.25,-0.14393939393939398,0.36363636363636365,0.16666666666666666,0,64.0,63.0,Russia,Saudi Arabia,0.2727272727272727,0.4166666666666667,Russia2018
1,2018,-10.0,-0.033333333333333326,0.2,-0.09999999999999998,0.26666666666666666,0.26666666666666666,0.3,0,31.0,21.0,Egypt,Uruguay,0.4666666666666667,0.2,Russia2018
2,2018,-8.0,-0.13939393939393938,0.4666666666666667,0.36363636363636365,-0.036363636363636376,0.13333333333333333,0.2727272727272727,0,40.0,32.0,Morocco,IR Iran,0.6,0.6363636363636364,Russia2018
3,2018,3.0,0.0,0.5333333333333332,0.6000000000000001,-0.06666666666666676,0.2,0.2,0,3.0,6.0,Portugal,Spain,0.7333333333333333,0.8,Russia2018
4,2018,29.0,-0.2027972027972028,0.45454545454545453,0.0,0.2517482517482517,0.18181818181818182,0.38461538461538464,0,9.0,38.0,France,Australia,0.6363636363636364,0.38461538461538464,Russia2018
5,2018,18.0,0.21666666666666667,0.2,0.5,-0.08333333333333337,0.3,0.08333333333333333,0,4.0,22.0,Argentina,Iceland,0.5,0.5833333333333334,Russia2018
6,2018,1.0,-0.0444444444444444,0.19999999999999996,0.11111111111111116,0.0444444444444444,0.4,0.4444444444444444,0,11.0,12.0,Peru,Denmark,0.6,0.5555555555555556,Russia2018
7,2018,34.0,0.1111111111111111,0.08333333333333337,0.2222222222222222,-0.027777777777777735,0.3333333333333333,0.2222222222222222,0,17.0,51.0,Croatia,Nigeria,0.4166666666666667,0.4444444444444444,Russia2018
8,2018,10.0,0.08771929824561403,-0.15789473684210525,0.22222222222222227,-0.2923976608187135,0.42105263157894735,0.3333333333333333,0,26.0,36.0,Costa Rica,Serbia,0.2631578947368421,0.5555555555555556,Russia2018
9,2018,15.0,0.06666666666666665,0.4666666666666666,0.39999999999999997,0.1333333333333333,0.26666666666666666,0.2,0,1.0,16.0,Germany,Mexico,0.7333333333333333,0.6,Russia2018
