,Date,Phase,Team_home,Team_home_short,Team_visitor,Team_visitor_short,World_Cup,Team_home_penalties_score,Team_visitor_penalties_score,Team_home_score,Team_visitor_score,Result,Result_with_penalties
239,2002-06-16,Round of 16,Spain,ESP,Republic of Ireland,IRL,Korea/Japan-2002,3,2,1,1,Draw,Win
240,2002-06-16,Round of 16,Sweden,SWE,Senegal,SEN,Korea/Japan-2002,0,0,1,2,Loss,Loss
241,2002-06-17,Round of 16,Brazil,BRA,Belgium,BEL,Korea/Japan-2002,0,0,2,0,Win,Win
242,2002-06-17,Round of 16,Mexico,MEX,USA,USA,Korea/Japan-2002,0,0,0,2,Loss,Loss
243,2002-06-18,Round of 16,Japan,JPN,Turkey,TUR,Korea/Japan-2002,0,0,0,1,Loss,Loss
244,2002-06-18,Round of 16,Korea Republic,KOR,Italy,ITA,Korea/Japan-2002,0,0,2,1,Win,Win
245,2002-06-21,Quarter-finals,England,ENG,Brazil,BRA,Korea/Japan-2002,0,0,1,2,Loss,Loss
246,2002-06-21,Quarter-finals,Germany,GER,USA,USA,Korea/Japan-2002,0,0,1,0,Win,Win
247,2002-06-22,Quarter-finals,Senegal,SEN,Turkey,TUR,Korea/Japan-2002,0,0,0,1,Loss,Loss
248,2002-06-22,Quarter-finals,Spain,ESP,Korea Republic,KOR,Korea/Japan-2002,3,5,0,0,Draw,Loss
249,2002-06-25,Semi-finals,Germany,GER,Korea Republic,KOR,Korea/Japan-2002,0,0,1,0,Win,Win
250,2002-06-26,Semi-finals,Brazil,BRA,Turkey,TUR,Korea/Japan-2002,0,0,1,0,Win,Win
251,2002-06-29,Third place,Korea Republic,KOR,Turkey,TUR,Korea/Japan-2002,0,0,2,3,Loss,Loss
252,2002-06-30,Final,Germany,GER,Brazil,BRA,Korea/Japan-2002,0,0,0,2,Loss,Loss
253,1998-06-10,Group A,Brazil,BRA,Scotland,SCO,France-1998,0,0,2,1,Win,Win
254,1998-06-10,Group A,Morocco,MAR,Norway,NOR,France-1998,0,0,2,2,Draw,Draw
255,1998-06-11,Group B,Italy,ITA,Chile,CHI,France-1998,0,0,2,2,Draw,Draw
256,1998-06-11,Group B,Cameroon,CMR,Austria,AUT,France-1998,0,0,1,1,Draw,Draw
257,1998-06-12,Group D,Paraguay,PAR,Bulgaria,BUL,France-1998,0,0,0,0,Draw,Draw
258,1998-06-12,Group C,Saudi Arabia,KSA,Denmark,DEN,France-1998,0,0,0,1,Loss,Loss
259,1998-06-12,Group C,France,FRA,South Africa,RSA,France-1998,0,0,3,0,Win,Win
260,1998-06-13,Group D,Spain,ESP,Nigeria,NGA,France-1998,0,0,2,3,Loss,Loss
261,1998-06-13,Group E,Korea Republic,KOR,Mexico,MEX,France-1998,0,0,1,3,Loss,Loss
262,1998-06-13,Group E,Netherlands,NED,Belgium,BEL,France-1998,0,0,0,0,Draw,Draw
263,1998-06-14,Group H,Argentina,ARG,Japan,JPN,France-1998,0,0,1,0,Win,Win
264,1998-06-14,Group H,Jamaica,JAM,Croatia,CRO,France-1998,0,0,1,3,Loss,Loss
265,1998-06-15,Group G,England,ENG,Tunisia,TUN,France-1998,0,0,2,0,Win,Win
266,1998-06-15,Group G,Romania,ROU,Colombia,COL,France-1998,0,0,1,0,Win,Win
267,1998-06-15,Group F,Germany,GER,USA,USA,France-1998,0,0,2,0,Win,Win
268,1998-06-16,Group A,Scotland,SCO,Norway,NOR,France-1998,0,0,1,1,Draw,Draw
269,1998-06-16,Group A,Brazil,BRA,Morocco,MAR,France-1998,0,0,3,0,Win,Win
270,1998-06-17,Group B,Chile,CHI,Austria,AUT,France-1998,0,0,1,1,Draw,Draw
271,1998-06-17,Group B,Italy,ITA,Cameroon,CMR,France-1998,0,0,3,0,Win,Win
272,1998-06-18,Group C,South Africa,RSA,Denmark,DEN,France-1998,0,0,1,1,Draw,Draw
273,1998-06-18,Group C,France,FRA,Saudi Arabia,KSA,France-1998,0,0,4,0,Win,Win
274,1998-06-19,Group D,Nigeria,NGA,Bulgaria,BUL,France-1998,0,0,1,0,Win,Win
275,1998-06-19,Group D,Spain,ESP,Paraguay,PAR,France-1998,0,0,0,0,Draw,Draw
276,1998-06-20,Group H,Japan,JPN,Croatia,CRO,France-1998,0,0,0,1,Loss,Loss
277,1998-06-20,Group E,Belgium,BEL,Mexico,MEX,France-1998,0,0,2,2,Draw,Draw
278,1998-06-20,Group E,Netherlands,NED,Korea Republic,KOR,France-1998,0,0,5,0,Win,Win
279,1998-06-21,Group H,Argentina,ARG,Jamaica,JAM,France-1998,0,0,5,0,Win,Win
280,1998-06-21,Group F,USA,USA,IR Iran,IRN,France-1998,0,0,1,2,Loss,Loss
281,1998-06-22,Group G,Colombia,COL,Tunisia,TUN,France-1998,0,0,1,0,Win,Win
282,1998-06-22,Group G,Romania,ROU,England,ENG,France-1998,0,0,2,1,Win,Win
283,1998-06-23,Group B,Italy,ITA,Austria,AUT,France-1998,0,0,2,1,Win,Win
284,1998-06-23,Group B,Chile,CHI,Cameroon,CMR,France-1998,0,0,1,1,Draw,Draw
285,1998-06-23,Group A,Scotland,SCO,Morocco,MAR,France-1998,0,0,0,3,Loss,Loss
286,1998-06-23,Group A,Brazil,BRA,Norway,NOR,France-1998,0,0,1,2,Loss,Loss
287,1998-06-24,Group C,France,FRA,Denmark,DEN,France-1998,0,0,2,1,Win,Win
288,1998-06-24,Group C,South Africa,RSA,Saudi Arabia,KSA,France-1998,0,0,2,2,Draw,Draw
289,1998-06-24,Group D,Spain,ESP,Bulgaria,BUL,France-1998,0,0,6,1,Win,Win
290,1998-06-24,Group D,Nigeria,NGA,Paraguay,PAR,France-1998,0,0,1,3,Loss,Loss
291,1998-06-25,Group E,Belgium,BEL,Korea Republic,KOR,France-1998,0,0,1,1,Draw,Draw
292,1998-06-25,Group E,Netherlands,NED,Mexico,MEX,France-1998,0,0,2,2,Draw,Draw
293,1998-06-25,Group F,Germany,GER,IR Iran,IRN,France-1998,0,0,2,0,Win,Win
294,1998-06-26,Group H,Japan,JPN,Jamaica,JAM,France-1998,0,0,1,2,Loss,Loss
295,1998-06-26,Group H,Argentina,ARG,Croatia,CRO,France-1998,0,0,1,0,Win,Win
296,1998-06-26,Group G,Romania,ROU,Tunisia,TUN,France-1998,0,0,1,1,Draw,Draw
297,1998-06-26,Group G,Colombia,COL,England,ENG,France-1998,0,0,0,2,Loss,Loss
298,1998-06-27,Round of 16,Italy,ITA,Norway,NOR,France-1998,0,0,1,0,Win,Win
299,1998-06-27,Round of 16,Brazil,BRA,Chile,CHI,France-1998,0,0,4,1,Win,Win
300,1998-06-28,Round of 16,France,FRA,Paraguay,PAR,France-1998,0,0,1,0,Win,Win
301,1998-06-28,Round of 16,Nigeria,NGA,Denmark,DEN,France-1998,0,0,1,4,Loss,Loss
302,1998-06-29,Round of 16,Germany,GER,Mexico,MEX,France-1998,0,0,2,1,Win,Win
303,1998-06-30,Round of 16,Romania,ROU,Croatia,CRO,France-1998,0,0,0,1,Loss,Loss
304,1998-06-30,Round of 16,Argentina,ARG,England,ENG,France-1998,4,3,2,2,Draw,Win
305,1998-07-03,Quarter-finals,Italy,ITA,France,FRA,France-1998,3,4,0,0,Draw,Loss
306,1998-07-03,Quarter-finals,Brazil,BRA,Denmark,DEN,France-1998,0,0,3,2,Win,Win
307,1998-07-04,Quarter-finals,Netherlands,NED,Argentina,ARG,France-1998,0,0,2,1,Win,Win
308,1998-07-04,Quarter-finals,Germany,GER,Croatia,CRO,France-1998,0,0,0,3,Loss,Loss
309,1998-07-07,Semi-finals,Brazil,BRA,Netherlands,NED,France-1998,4,2,1,1,Draw,Win
310,1998-07-08,Semi-finals,France,FRA,Croatia,CRO,France-1998,0,0,2,1,Win,Win
311,1998-07-11,Match for third place,Netherlands,NED,Croatia,CRO,France-1998,0,0,1,2,Loss,Loss
312,1998-07-12,Final,Brazil,BRA,France,FRA,France-1998,0,0,0,3,Loss,Loss
313,1994-06-17,Group C,Spain,ESP,Korea Republic,KOR,USA-1994,0,0,2,2,Draw,Draw
314,1994-06-17,Group C,Germany,GER,Bolivia,BOL,USA-1994,0,0,1,0,Win,Win
315,1994-06-18,Group A,USA,USA,Switzerland,SUI,USA-1994,0,0,1,1,Draw,Draw
316,1994-06-18,Group E,Italy,ITA,Republic of Ireland,IRL,USA-1994,0,0,0,1,Loss,Loss
317,1994-06-18,Group A,Colombia,COL,Romania,ROU,USA-1994,0,0,1,3,Loss,Loss
318,1994-06-19,Group F,Belgium,BEL,Morocco,MAR,USA-1994,0,0,1,0,Win,Win
319,1994-06-19,Group E,Norway,NOR,Mexico,MEX,USA-1994,0,0,1,0,Win,Win
320,1994-06-19,Group B,Cameroon,CMR,Sweden,SWE,USA-1994,0,0,2,2,Draw,Draw
321,1994-06-20,Group F,Netherlands,NED,Saudi Arabia,KSA,USA-1994,0,0,2,1,Win,Win
322,1994-06-20,Group B,Brazil,BRA,Russia,RUS,USA-1994,0,0,2,0,Win,Win
323,1994-06-21,Group D,Argentina,ARG,Greece,GRE,USA-1994,0,0,4,0,Win,Win
324,1994-06-21,Group D,Nigeria,NGA,Bulgaria,BUL,USA-1994,0,0,3,0,Win,Win
325,1994-06-21,Group C,Germany,GER,Spain,ESP,USA-1994,0,0,1,1,Draw,Draw
326,1994-06-22,Group A,Romania,ROU,Switzerland,SUI,USA-1994,0,0,1,4,Loss,Loss
327,1994-06-22,Group A,USA,USA,Colombia,COL,USA-1994,0,0,2,1,Win,Win
328,1994-06-23,Group E,Italy,ITA,Norway,NOR,USA-1994,0,0,1,0,Win,Win
329,1994-06-23,Group C,Korea Republic,KOR,Bolivia,BOL,USA-1994,0,0,0,0,Draw,Draw
330,1994-06-24,Group E,Mexico,MEX,Republic of Ireland,IRL,USA-1994,0,0,2,1,Win,Win
331,1994-06-24,Group B,Sweden,SWE,Russia,RUS,USA-1994,0,0,3,1,Win,Win
332,1994-06-24,Group B,Brazil,BRA,Cameroon,CMR,USA-1994,0,0,3,0,Win,Win
333,1994-06-25,Group F,Belgium,BEL,Netherlands,NED,USA-1994,0,0,1,0,Win,Win
334,1994-06-25,Group F,Saudi Arabia,KSA,Morocco,MAR,USA-1994,0,0,2,1,Win,Win
335,1994-06-25,Group D,Argentina,ARG,Nigeria,NGA,USA-1994,0,0,2,1,Win,Win
336,1994-06-26,Group D,Bulgaria,BUL,Greece,GRE,USA-1994,0,0,4,0,Win,Win
337,1994-06-26,Group A,USA,USA,Romania,ROU,USA-1994,0,0,0,1,Loss,Loss
338,1994-06-26,Group A,Switzerland,SUI,Colombia,COL,USA-1994,0,0,0,2,Loss,Loss
339,1994-06-27,Group C,Germany,GER,Korea Republic,KOR,USA-1994,0,0,3,2,Win,Win
340,1994-06-27,Group C,Bolivia,BOL,Spain,ESP,USA-1994,0,0,1,3,Loss,Loss
341,1994-06-28,Group E,Republic of Ireland,IRL,Norway,NOR,USA-1994,0,0,0,0,Draw,Draw
342,1994-06-28,Group B,Brazil,BRA,Sweden,SWE,USA-1994,0,0,1,1,Draw,Draw
343,1994-06-28,Group E,Italy,ITA,Mexico,MEX,USA-1994,0,0,1,1,Draw,Draw
344,1994-06-28,Group B,Russia,RUS,Cameroon,CMR,USA-1994,0,0,6,1,Win,Win
345,1994-06-29,Group F,Morocco,MAR,Netherlands,NED,USA-1994,0,0,1,2,Loss,Loss
346,1994-06-29,Group F,Belgium,BEL,Saudi Arabia,KSA,USA-1994,0,0,0,1,Loss,Loss
347,1994-06-30,Group D,Greece,GRE,Nigeria,NGA,USA-1994,0,0,0,2,Loss,Loss
348,1994-06-30,Group D,Argentina,ARG,Bulgaria,BUL,USA-1994,0,0,0,2,Loss,Loss
349,1994-07-02,Round of 16,Germany,GER,Belgium,BEL,USA-1994,0,0,3,2,Win,Win
350,1994-07-02,Round of 16,Spain,ESP,Switzerland,SUI,USA-1994,0,0,3,0,Win,Win
351,1994-07-03,Round of 16,Saudi Arabia,KSA,Sweden,SWE,USA-1994,0,0,1,3,Loss,Loss
352,1994-07-03,Round of 16,Romania,ROU,Argentina,ARG,USA-1994,0,0,3,2,Win,Win
353,1994-07-04,Round of 16,Netherlands,NED,Republic of Ireland,IRL,USA-1994,0,0,2,0,Win,Win
354,1994-07-04,Round of 16,Brazil,BRA,USA,USA,USA-1994,0,0,1,0,Win,Win
355,1994-07-05,Round of 16,Nigeria,NGA,Italy,ITA,USA-1994,0,0,1,2,Loss,Loss
356,1994-07-05,Round of 16,Mexico,MEX,Bulgaria,BUL,USA-1994,1,3,1,1,Draw,Loss
357,1994-07-09,Quarter-finals,Italy,ITA,Spain,ESP,USA-1994,0,0,2,1,Win,Win
358,1994-07-09,Quarter-finals,Netherlands,NED,Brazil,BRA,USA-1994,0,0,2,3,Loss,Loss
359,1994-07-10,Quarter-finals,Bulgaria,BUL,Germany,GER,USA-1994,0,0,2,1,Win,Win
360,1994-07-10,Quarter-finals,Romania,ROU,Sweden,SWE,USA-1994,4,5,2,2,Draw,Loss
361,1994-07-13,Semi-finals,Bulgaria,BUL,Italy,ITA,USA-1994,0,0,1,2,Loss,Loss
362,1994-07-13,Semi-finals,Sweden,SWE,Brazil,BRA,USA-1994,0,0,0,1,Loss,Loss
363,1994-07-16,Match for third place,Sweden,SWE,Bulgaria,BUL,USA-1994,0,0,4,0,Win,Win
364,1994-07-17,Final,Brazil,BRA,Italy,ITA,USA-1994,3,2,0,0,Draw,Win
